ordine;item_padre;descrizione_padre;item_figlio;descrizione_figlio;qta_richiesta_pezzo;unita_misura;scrap_factor;qta_completata;qta_prelevata;quantita_richiesta
449732;10004101;COPERCHIO BARR.S/HYGR.S IN PP;10066414;PP RF365MO BOREALIS;0,007817;KG;1,02000;0,00000;0,00000;0,00000
449732;10004101;COPERCHIO BARR.S/HYGR.S IN PP;1448;RIFRATENE PP VERDE KE/2623 2%;0,000159;KG;1,06000;0,00000;0,00000;0,00000
449733;10004105;FONDO BARRIERBAC'S 22M/15F PP;10066414;PP RF365MO BOREALIS;0,006731;KG;1,03000;0,00000;0,00000;0,00000
449733;10004105;FONDO BARRIERBAC'S 22M/15F PP;1448;RIFRATENE PP VERDE KE/2623 2%;0,000137;KG;1,07000;0,00000;0,00000;0,00000
451358;4301;APL GEOM.VALVE 15M SENZA SCAR.;1213;TERLUX 2812 TR (ABS);0,006316;KG;1,04890;35361,00000;234,26500;234,26141
452644;3367;COPERCHIO NUOVO FILTRO PED.;1421;RIFRASTIR PS VERDE FUME' KE;0,000242;KG;1,08000;75831,00000;17,40184;19,81919
452644;3367;COPERCHIO NUOVO FILTRO PED.;1210;STYROLUX 656C CRISTALLO;0,00784;KG;1,03000;75831,00000;620,21750;612,35049
453033;3333;RACCORDO DIRITTO 15F / TUBO P;1213;TERLUX 2812 TR (ABS);0,003047;KG;1,02350;248019,00000;742,37096;773,47317
453158;3065;TAPPO PER COBB FISSO;10130212;MDP 2894/60FC;0,0015;KG;1,29000;75190,00000;145,49265;145,49265
453424;4842;VALV.DIGITVENT 14CH TY-CARE AD;1207;SINKRAL PD L 322;0,010814;KG;1,06000;9186,00000;106,11300;105,29765
453424;4842;VALV.DIGITVENT 14CH TY-CARE AD;1430;COLORANTE VERDE;0,000221;KG;1,18000;9186,00000;2,41609;2,39553
453511;3030;CORPO NEBULIZZATORE AD UOVO;1210;STYROLUX 656C CRISTALLO;0,008595;KG;1,02140;42867,00000;383,53517;376,32652
453511;3030;CORPO NEBULIZZATORE AD UOVO;1438;STYROLUX BATCH EF;0,000175;KG;1,03500;42867,00000;5,91123;7,76429
453512;3031;COP. NEBULIZZATORE AD UOVO 22F;1422;RIFRASTIR PS VERDE KE/1530 AT;0,00025;KG;1,03500;48904,00000;6,29294;12,65391
453512;3031;COP. NEBULIZZATORE AD UOVO 22F;1210;STYROLUX 656C CRISTALLO;0,007935;KG;1,03760;48904,00000;403,55697;402,64404
453512;3031;COP. NEBULIZZATORE AD UOVO 22F;1422;RIFRASTIR PS VERDE KE/1530 AT;0,00025;KG;1,03500;48904,00000;6,40249;12,65391
453512;3031;COP. NEBULIZZATORE AD UOVO 22F;1422;RIFRASTIR PS VERDE KE/1530 AT;0,00025;KG;1,03500;48904,00000;12,69543;12,65391
453512;3031;COP. NEBULIZZATORE AD UOVO 22F;1438;STYROLUX BATCH EF;0,000125;KG;1,03500;48904,00000;6,32322;6,32696
453515;4305;CIL.APL GEOM VALVE SENZA SC;10086274;ERACLENE MP90U;0,004357;KG;1,02790;35262,00000;57,36256;157,92299
453515;4305;CIL.APL GEOM VALVE SENZA SC;10086274;ERACLENE MP90U;0,004357;KG;1,02790;35262,00000;102,60492;157,92299
453515;4305;CIL.APL GEOM VALVE SENZA SC;10086274;ERACLENE MP90U;0,004357;KG;1,02790;35262,00000;159,96748;157,92299
453515;4305;CIL.APL GEOM VALVE SENZA SC;1422;RIFRASTIR PS VERDE KE/1530 AT;0,000092;KG;1,95000;35262,00000;1,14560;6,32600
453515;4305;CIL.APL GEOM VALVE SENZA SC;1422;RIFRASTIR PS VERDE KE/1530 AT;0,000092;KG;1,95000;35262,00000;5,24738;6,32600
453515;4305;CIL.APL GEOM VALVE SENZA SC;10091422;ADDITIVANTE ANTI UV SU BASE HDPE;0,000095;KG;1,02790;35262,00000;3,50006;3,44335
453515;4305;CIL.APL GEOM VALVE SENZA SC;1422;RIFRASTIR PS VERDE KE/1530 AT;0,000092;KG;1,95000;35262,00000;6,39298;6,32600
453699;3292;RAC.3 VIE REBBI PARALL. T. EXT;1438;STYROLUX BATCH EF;0,000448;KG;1,03500;51702,00000;12,11644;23,97318
453699;3292;RAC.3 VIE REBBI PARALL. T. EXT;1210;STYROLUX 656C CRISTALLO;0,014479;KG;1,02190;51702,00000;784,69593;764,98745
