ordine;part_number;descrizione;lotto;TAG_Stampo;codice_pressa;data_fine
449732;10004101;COPERCHIO BARR.S/HYGR.S IN PP;19G0225FA;TAG 257;SE606;17/03/2020 22:04
449733;10004105;FONDO BARRIERBAC'S 22M/15F PP;19G0226FA;TAG 257;SE606;17/03/2020 22:05
451358;4301;APL GEOM.VALVE 15M SENZA SCAR.;19H0376FA;TAG 91;SE019;08/11/2019 14:04
452376;3850;CORPO TRACHEOLIFE 2;19J0166FA;TAG 219;SE600;31/10/2019 12:40
452644;3367;COPERCHIO NUOVO FILTRO PED.;19J0245FA;TAG 128;SE026;06/11/2019 22:14
453033;3333;RACCORDO DIRITTO 15F / TUBO P;19J0297FA;TAG 251;SE009;06/11/2019 21:28
453158;3065;TAPPO PER COBB FISSO;19K0015FA;TAG 45;SE020;06/11/2019 21:28
453424;4842;VALV.DIGITVENT 14CH TY-CARE AD;19K0035FA;TAG 187;SE014;04/11/2019 21:57
453511;3030;CORPO NEBULIZZATORE AD UOVO;19K0039FA;TAG 214;SE012;04/11/2019 22:04
453512;3031;COP. NEBULIZZATORE AD UOVO 22F;19K0040FA;TAG 213;SE007;04/11/2019 21:57
453515;4305;CIL.APL GEOM VALVE SENZA SC;19K0043FA;TAG 86;SE003;30/10/2019 21:10
453699;3292;RAC.3 VIE REBBI PARALL. T. EXT;19K0071FA;TAG 176-B;SE011;06/11/2019 21:29
453752;10084085;FONDO FILTRO HYGROBAC'S PP;19K0081FA;TAG 117;SE605;30/10/2019 21:24
453753;10084085;FONDO FILTRO HYGROBAC'S PP;19K0082FA;TAG 209;SE602;31/10/2019 11:43
453754;10084085;FONDO FILTRO HYGROBAC'S PP;19K0083FA;TAG 209;SE602;08/11/2019 10:20
453755;10004101;COPERCHIO BARR.S/HYGR.S IN PP;19K0084FA;TAG 218;ST312;30/10/2019 11:05
453756;10004101;COPERCHIO BARR.S/HYGR.S IN PP;19K0085FA;TAG 234;SE607;07/11/2019 23:03
453757;3850;CORPO TRACHEOLIFE 2;19K0086FA;TAG 219;SE600;13/11/2019 07:13
453802;3394;FONDO FILTRO STERIVENT;19K0096FA;TAG 38;SE023;05/11/2019 21:27
453807;10124373;VASCHETTA PP RC ADT;19K0099FA;TAG 19;SE011;07/11/2019 22:56
453810;10139858;FONDO BBAC PP 22F;19K0102FA;TAG 178;SE017;30/10/2019 21:18
453814;3067;TAPPO CHIUSURA CATET.ESTENSIB.;19K0106FA;TAG 89;SE603;30/10/2019 21:10
453815;3071;RACCORDO GIREVOLE X MOUNT 15M;19K0107FA;TAG 40;SE012;19/11/2019 21:22
453816;3120;RACC.T.ENDOTR.15F 22M CONN.15M;19K0108FA;TAG 11;SE002;04/11/2019 22:03
453904;3264;RACC. ANG.X UMIDIF. F&P MR850;19K0128FA;TAG 35;SE016;30/10/2019 21:14
453907;3354;COPERCHIO RACCOGLICONDENSA 22M;19K0130FA;TAG 113;SE013;04/11/2019 21:59
453909;3355;COPERCHIO RACCOGLICOND. TUBO A;19K0131FA;TAG 157;SE007;07/11/2019 23:12
453910;3388;FONDO FILTRO STERIVENT 'S';19K0132FA;TAG 38;SE023;11/11/2019 23:02
453921;4548;CORPO MASCH.X ANEST.INFANT;19K0138FA;TAG 74;SE002;04/11/2019 21:45
453922;4549;CORPO MASCH.ANEST. INF.'0'15M;19K0139FA;TAG 74;SE002;05/11/2019 21:35
453927;4841;VALV.DIGITVENT 12CH TY-CARE AD;19K0142FA;TAG 187;SE014;02/12/2019 21:41
453928;4843;VALV.DIGITVENT 16CH TY-CARE AD;19K0143FA;TAG 187;SE014;07/11/2019 23:15
453941;3375;FONDO HYGROBOY CON 22M/15F;19K0150FA;TAG 84;SE005;30/10/2019 21:21
453942;3374;COPERCHIO HYGROBOY 22F/15M;19K0151FA;TAG 85;SE005;07/11/2019 23:08
453943;3371;COPERCHIO HYGROBABY 15M FORO;19K0152FA;TAG 85;SE005;13/11/2019 22:06
453944;3373;FONDO HYGROBABY CON 15F;19K0153FA;TAG 84;SE005;18/11/2019 21:36
453945;3375;FONDO HYGROBOY CON 22M/15F;19K0154FA;TAG 84;SE005;27/11/2019 08:18
453946;3374;COPERCHIO HYGROBOY 22F/15M;19K0155FA;TAG 85;SE005;11/11/2019 22:53
453968;3799;INSERT GUEDEL CANNULA SIZE 9 CM;19K0158FA;TAG 63;SE028;30/10/2019 21:09
453969;3800;INSERT GUEDEL CANNULA SIZE 10 CM;19K0159FA;TAG 63;SE028;05/11/2019 21:31
453970;3797;INSERT GUEDEL CANNULA SIZE 7 CM;19K0160FA;TAG 63;SE028;05/11/2019 21:26
454042;3357;VASCHETTA RACCOGLICOND. AD.;19K0173FA;TAG 19;SE011;11/11/2019 22:49
454047;3360;FONDO FILTRO BARRIERBAC 22F;19K0174FA;TAG 178-B;SE017;05/11/2019 21:28
454051;3285;RACCORDO TIPO Y PER TUBO P;19K0175FA;TAG 9;SE604;30/10/2019 21:11
454052;3291;RAC.Y 22M/15F,TUBO P.CON PRESE;19K0176FA;TAG 9;SE604;04/11/2019 22:03
454053;3359;CONNETTORE CONO LUER X FILTRI;19K0177FA;TAG 46;SE019;18/11/2019 21:27
454054;10124375;MEMBRANA IN MEGOL PER RC;19K0178FA;TAG 147;SE018;04/11/2019 22:04
454055;10141356;RACCORDO 22FLEX TUBO ADT;19K0179FA;TAG 174;SE024;30/10/2019 21:20
454057;3873;RACCORDO DRITTO X TUBO NEON.;19K0180FA;TAG 4;SE002;30/10/2019 21:15
454058;4360;RACCORDO TUBO 'P' CON SEDE;19K0181FA;TAG 158;SE019;13/11/2019 22:00
454063;3395;COPERCHIO FILTRO STERIVENT,;19K0186FA;TAG 37;SE026;11/11/2019 21:46
454064;3362;COPERCHIO FILTRO STERIVENT 22F;19K0187FA;TAG 37;SE026;11/11/2019 21:38
454065;PT00071262;COPERCHIO FILTRO STERIVENT CLEAR 22F;19K0188FA;TAG 37;SE026;12/11/2019 22:37
454066;10139855;COPERCHIO HBAC PP 22M/15F;19K0189FA;TAG 31;SE025;11/11/2019 21:42
454067;10139857;COPERCHIO BBAC PP 22M/15F;19K0190FA;TAG 31;SE025;13/11/2019 22:07
454071;3381;COPERCHIO BARRIER/HYGROBAC S;19K0194FA;TAG 58;SE006;04/11/2019 21:55
454072;4800;COPERCHIO 22F/15M CON CONO;19K0195FA;TAG 153;SE024;11/11/2019 21:40
454074;3007;COPERCHIO NEBULIZZATORE 22F;19K0197FA;TAG 213;SE007;05/11/2019 21:35
454076;3068;CORPO COBB GIREVOLE;19K0199FA;TAG 229;SE601;04/11/2019 21:58
454078;3382;FONDO BARRIERBAC 'S' 22M/15F;19K0202FA;TAG 60;SE601;11/11/2019 22:54
454083;10004101;COPERCHIO BARR.S/HYGR.S IN PP;19K0208FA;TAG 218;ST312;08/11/2019 18:59
454154;10004101;COPERCHIO BARR.S/HYGR.S IN PP;19K0218FA;TAG 218;ST312;19/11/2019 03:31
454156;10119343;FONDO STERIVENT MINI;19K0219FA;TAG 133;SE027;05/11/2019 21:29
454157;10119344;COPERCHIO STERIVENT MINI;19K0220FA;TAG 128;SE026;30/10/2019 21:18
454163;3369;FONDO FILTRO STERIVENT MINI;19K0221FA;TAG 133;SE027;12/11/2019 22:34
454166;10119344;COPERCHIO STERIVENT MINI;19K0222FA;TAG 128;SE027;20/11/2019 21:53
454168;3367;COPERCHIO NUOVO FILTRO PED.;19K0223FA;TAG 128;SE027;18/11/2019 21:34
454208;10119239;CORPO CENTRALE TRACHEOLIFE III;19K0226FA;TAG 230;SE015;05/11/2019 21:34
454214;3384;FONDO FILTRO PROTEZ. MANOMETRI;19K0227FA;TAG 25;SE003;11/11/2019 21:43
454215;3385;COPERCHIO FILTRO PR.MANOMETRI;19K0228FA;TAG 25;SE003;27/11/2019 08:26
454217;3399;ANCORA SOSTEGNO X CIRC. ADULTI;19K0230FA;TAG 23;SE020;30/10/2019 21:11
454223;3279;RAC.3 VIE REBBI PARALL.22M/15F;19K0231FA;TAG 176-B;SE604;13/11/2019 22:05
454224;3278;RACC. TRE VIE REBBI PARALLELI;19K0232FA;TAG 176-B;SE604;12/11/2019 22:35
454226;3335;RACCORDO DIRITTO 22F/ TUBO P;19K0233FA;TAG 251;SE009;30/10/2019 21:13
454227;3335;RACCORDO DIRITTO 22F/ TUBO P;19K0234FA;TAG 251;SE009;18/11/2019 21:43
454228;3333;RACCORDO DIRITTO 15F / TUBO P;19K0235FA;TAG 251;SE009;11/11/2019 22:59
454229;3366;COPERCHIO  BARRIERBAC 22M/15F;19K0236FA;TAG 31;SE025;18/11/2019 21:41
454241;4126;CORPO FILTRO SPIROM. 33M/30F;19K0237FA;TAG 83;SE007;14/11/2019 21:19
454242;4126;CORPO FILTRO SPIROM. 33M/30F;19K0238FA;TAG 83;SE007;09/12/2019 21:21
454243;4810;COPERCHIO FILTRO HYGROLIFE II;19K0239FA;TAG 177;SE016;04/11/2019 21:46
